"AIRPORT","n_rows","event_days","high_impact_days","avg_lf_pct","avg_event_lf_pct","avg_non_event_lf_pct","event_uplift_pct_pts","weekday_adjusted_event_excess","avg_high_impact_lf_pct","high_impact_uplift_pct_pts","weekday_adjusted_high_impact_excess","t_stat","p_value","event_names"
"AAN","1","0","0","74.38",,"74.38",,,,,,,,""
"ABJ","520","0","0","51.31",,"51.31",,,,,,,,""
"ABV","373","0","0","75.14",,"75.14",,,,,,,,""
"ACC","571","0","0","80.65",,"80.65",,,,,,,,""
"ADB","574","114","19","81.22","80.57","81.38","-0.81","-0.58","76.09","-5.31","-5.39","-1.066","0.288014","Yılbaşı ; Ramazan Bayramı 1. Gün | Ramazan Bayramı 2. Gün | Ramazan Bayramı 3. Gün ; Ramazan Bayramı 2. Gün | Ramazan Bayramı 3. Gün"
"ADD","574","0","0","80.46",,"80.46",,,,,,,,""
"ADF","564","0","0","87.37",,"87.37",,,,,,,,""
"AGP","574","0","0","81.78",,"81.78",,,,,,,,""
"AJI","556","0","0","89.35",,"89.35",,,,,,,,""
"AKX","10","0","0","49.89",,"49.89",,,,,,,,""
"ALA","575","0","0","86.18",,"86.18",,,,,,,,""
"ALG","574","0","0","77.23",,"77.23",,,,,,,,""
"ALP","246","0","0","76.1",,"76.1",,,,,,,,""
"AMM","504","0","0","75.66",,"75.66",,,,,,,,""
"AMS","574","9","0","80.73","80.02","80.74","-0.72","-1.28",,,,"-0.427","0.680808","NEW REGULATIONS ON EU PLASTIC PACKAGING & RECYCLING ; Anouk + Clouseau | Lockers Large | Spoorpark LIVE: Anouk + Clouseau ; Cheeky Monday: JADE VENOM! | Kidd Voodoo"
"AOE","1","0","0","0",,"0",,,,,,,,""
"AQJ","167","0","0","18.85",,"18.85",,,,,,,,""
"ARN","574","0","0","79.98",,"79.98",,,,,,,,""
"ASB","573","0","0","80.58",,"80.58",,,,,,,,""
"ASM","559","0","0","69.67",,"69.67",,,,,,,,""
"ASR","574","114","19","80.52","79.65","80.73","-1.09","-1.46","78.43","-2.16","-3.23","-1.422","0.156607","Yılbaşı ; Ramazan Bayramı 1. Gün | Ramazan Bayramı 2. Gün | Ramazan Bayramı 3. Gün ; Ramazan Bayramı 2. Gün | Ramazan Bayramı 3. Gün"
"ATH","572","0","0","81.71",,"81.71",,,,,,,,""
"ATL","574","0","0","82.32",,"82.32",,,,,,,,""
"AUH","451","0","0","74.32",,"74.32",,,,,,,,""
"AYT","574","114","19","78.16","80.44","77.6","2.84","2.67","76.18","-2.06","-2.04","3.941","0.000116","Yılbaşı ; Ramazan Bayramı 1. Gün | Ramazan Bayramı 2. Gün | Ramazan Bayramı 3. Gün ; Ramazan Bayramı 2. Gün | Ramazan Bayramı 3. Gün"
"BAH","423","0","0","67.79",,"67.79",,,,,,,,""
"BAL","570","112","19","91.79","92.7","91.56","1.14","0.85","83.89","-8.17","-8.07","1.105","0.270817","Yılbaşı ; Ramazan Bayramı 1. Gün | Ramazan Bayramı 2. Gün | Ramazan Bayramı 3. Gün ; Ramazan Bayramı 2. Gün | Ramazan Bayramı 3. Gün"
"BCN","574","0","0","84.39",,"84.39",,,,,,,,""
"BEG","574","0","0","85.09",,"85.09",,,,,,,,""
"BEN","431","0","0","53.41",,"53.41",,,,,,,,""
"BER","573","16","0","81.57","78.76","81.66","-2.9","-3.47",,,,"-1.449","0.166602","ILA ; LOLLAPALOOZA - BERLIN ; WIR ARBEITEN DRAN - Stand-up Comedy Berlin"
"BEY","510","0","0","78.32",,"78.32",,,,,,,,""
"BGG","408","0","0","87.2",,"87.2",,,,,,,,""
"BGW","484","0","0","74.41",,"74.41",,,,,,,,""
"BHK","148","0","0","75.74",,"75.74",,,,,,,,""
"BHX","574","9","0","81.17","79.15","81.2","-2.04","-2.11",,,,"-0.648","0.535372","ELEMENTS ; INTERPLAS ; Operation Mincemeat: A New Musical | Sea Life Birmingham - Standard Entry | The Monday Afterdrive - The Hill | The Wildhearts | Warwick Castle - Daily Entry"
"BIO","565","0","0","77.75",,"77.75",,,,,,,,""
"BJL","326","0","0","53.42",,"53.42",,,,,,,,""
"BJV","573","114","19","81.89","81.68","81.94","-0.26","-0.11","73.65","-8.52","-8.23","-0.293","0.770162","Yılbaşı ; Ramazan Bayramı 1. Gün | Ramazan Bayramı 2. Gün | Ramazan Bayramı 3. Gün ; Ramazan Bayramı 2. Gün | Ramazan Bayramı 3. Gün"
"BKK","574","0","0","83.71",,"83.71",,,,,,,,""
"BKO","454","0","0","72.52",,"72.52",,,,,,,,""
"BLL","267","0","0","62.51",,"62.51",,,,,,,,""
"BLQ","574","0","0","80.63",,"80.63",,,,,,,,""
"BOD","553","0","0","82.84",,"82.84",,,,,,,,""
"BOG","573","0","0","57.31",,"57.31",,,,,,,,""
"BOM","574","0","0","85.34",,"85.34",,,,,,,,""
"BOS","526","0","0","84.07",,"84.07",,,,,,,,""
"BRE","570","0","0","76.06",,"76.06",,,,,,,,""
"BRI","502","0","0","79.65",,"79.65",,,,,,,,""
"BRU","569","0","0","79.1",,"79.1",,,,,,,,""
"BSL","536","0","0","75.66",,"75.66",,,,,,,,""
"BSR","285","0","0","58.46",,"58.46",,,,,,,,""
"BSZ","354","0","0","83.65",,"83.65",,,,,,,,""
"BUD","574","0","0","83.83",,"83.83",,,,,,,,""
"BUS","550","0","0","77.16",,"77.16",,,,,,,,""
"CAI","574","0","0","81.36",,"81.36",,,,,,,,""
"CAN","574","0","0","89.48",,"89.48",,,,,,,,""
