"AIRPORT","flight_date","LF_PCT","max_impact","special_event_flag","event_names"
"ISE","2025-03-15","59.09","0","0",""
"ISE","2025-03-16","64.47","0","0",""
"ISE","2025-03-17","51.32","0","0",""
"ISE","2025-03-19","67.92","0","0",""
"ISE","2025-03-21","68.54","0","0",""
"ISE","2025-03-22","82.08","0","0",""
"ISE","2025-03-23","80.5","0","0",""
"ISE","2025-03-24","90.07","0","0",""
"ISE","2025-03-26","85.53","0","0",""
"ISE","2025-03-27","42.9","0","0",""
"ISE","2025-03-28","99.34","0","0",""
"ISE","2025-03-29","86.74","95","1","Ramazan Bayramı 1. Gün | Ramazan Bayramı 2. Gün | Ramazan Bayramı 3. Gün"
"ISE","2025-03-30","97.73","95","1","Ramazan Bayramı 1. Gün | Ramazan Bayramı 2. Gün | Ramazan Bayramı 3. Gün"
"ISE","2025-03-31","71.38","95","1","Ramazan Bayramı 2. Gün | Ramazan Bayramı 3. Gün"
"ISE","2025-04-04","96.23","0","0",""
"ISE","2025-04-05","93.71","0","0",""
"ISE","2025-04-06","93.18","0","0",""
"ISE","2025-04-07","80.82","0","0",""
"ISE","2025-04-09","67.3","0","0",""
"ISE","2025-04-11","81.45","0","0",""
"ISE","2025-04-12","75","0","0",""
